element,imageUrl,id,parentId,name,VPC
ap-northeast-2,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/user_profile.png?alt=media&token=4775b50e-531f-418a-9da7-8256d0bb594c,ap-northeast-2,,,
subnet,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/subnet.png?alt=media&token=74784509-f005-4fae-9771-efaf46822c73,subnet-06cf995b42d89862f,vpc-0090ae5d05005d897,ai_lab,
subnet,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/subnet.png?alt=media&token=74784509-f005-4fae-9771-efaf46822c73,subnet-0fee21e68c7e8f07e,vpc-0090ae5d05005d897,security_lab,
s3,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/S3.png?alt=media&token=86dba17a-85e6-446b-b1a5-9581847df29b,s3root,ap-northeast-2,,
s3,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/S3.png?alt=media&token=86dba17a-85e6-446b-b1a5-9581847df29b,woolycloudbucket,s3root,,
s3,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/S3.png?alt=media&token=86dba17a-85e6-446b-b1a5-9581847df29b,woolycloudbucket23,s3root,,
nat_gateway,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/NatGW.png?alt=media&token=9599fd89-65c5-41aa-8847-c6685ff8a3b7,nat-059c8676c7b1474bb,subnet-0fee21e68c7e8f07e,my-custom-nat-gateway,
internet_gateway,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/IGW.png?alt=media&token=2727660d-f9c0-4106-a831-2364184a00ac,igw-0b9fd8ab01281f256,ap-northeast-2,my_custom_igw,vpc-0090ae5d05005d897
internet_gateway,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/IGW.png?alt=media&token=2727660d-f9c0-4106-a831-2364184a00ac,igw-126b227a,ap-northeast-2,default_igw,vpc-08eb7163
VPC,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/vpc.png?alt=media&token=746f89eb-c3b1-45c2-b7ab-b5195184ef12,vpc-0090ae5d05005d897,igw-0b9fd8ab01281f256,dongguk_seoul_vpc,
VPC,https://firebasestorage.googleapis.com/v0/b/confident-35184.appspot.com/o/vpc.png?alt=media&token=746f89eb-c3b1-45c2-b7ab-b5195184ef12,vpc-08eb7163,igw-126b227a,dongguk_kyeongju_vpc,
